user_id,category,question_id,option_id,result
1,laptop,1,1,FALSE
1,laptop,1,2,TRUE
1,laptop,1,3,FALSE
1,laptop,2,4,TRUE
1,laptop,2,5,FALSE
1,laptop,3,6,FALSE
1,laptop,3,7,TRUE
1,laptop,4,8,FALSE
1,laptop,4,9,FALSE
1,laptop,4,10,TRUE
1,laptop,5,11,FALSE
1,laptop,5,12,TRUE
1,laptop,6,13,FALSE
1,laptop,6,14,TRUE
1,laptop,7,15,FALSE
1,laptop,7,16,TRUE
1,laptop,8,17,FALSE
1,laptop,8,18,TRUE
1,laptop,9,19,TRUE
1,laptop,9,20,FALSE
1,laptop,9,21,FALSE
1,laptop,10,22,FALSE
1,laptop,10,23,FALSE
1,laptop,10,24,TRUE
1,laptop,11,25,TRUE
1,laptop,11,26,FALSE
1,laptop,11,27,FALSE
1,laptop,12,28,FALSE
1,laptop,12,29,FALSE
1,laptop,12,30,TRUE
2,laptop,1,1,TRUE
2,laptop,1,2,FALSE
2,laptop,1,3,FALSE
2,laptop,2,4,TRUE
2,laptop,2,5,FALSE
2,laptop,3,6,FALSE
2,laptop,3,7,TRUE
2,laptop,4,8,FALSE
2,laptop,4,9,TRUE
2,laptop,4,10,FALSE
2,laptop,5,11,TRUE
2,laptop,5,12,FALSE
2,laptop,6,13,TRUE
2,laptop,6,14,FALSE
2,laptop,7,15,TRUE
2,laptop,7,16,FALSE
2,laptop,8,17,FALSE
2,laptop,8,18,TRUE
2,laptop,9,19,TRUE
2,laptop,9,20,FALSE
2,laptop,9,21,FALSE
2,laptop,10,22,TRUE
2,laptop,10,23,FALSE
2,laptop,10,24,FALSE
2,laptop,11,25,TRUE
2,laptop,11,26,FALSE
2,laptop,11,27,FALSE
2,laptop,12,28,TRUE
2,laptop,12,29,FALSE
2,laptop,12,30,FALSE
3,laptop,1,1,FALSE
3,laptop,1,2,FALSE
3,laptop,1,3,TRUE
3,laptop,2,4,TRUE
3,laptop,2,5,FALSE
3,laptop,3,6,TRUE
3,laptop,3,7,FALSE
3,laptop,4,8,FALSE
3,laptop,4,9,TRUE
3,laptop,4,10,FALSE
3,laptop,5,11,TRUE
3,laptop,5,12,FALSE
3,laptop,6,13,FALSE
3,laptop,6,14,TRUE
3,laptop,7,15,TRUE
3,laptop,7,16,FALSE
3,laptop,8,17,TRUE
3,laptop,8,18,FALSE
3,laptop,9,19,FALSE
3,laptop,9,20,FALSE
3,laptop,9,21,TRUE
3,laptop,10,22,FALSE
3,laptop,10,23,TRUE
3,laptop,10,24,FALSE
3,laptop,11,25,TRUE
3,laptop,11,26,FALSE
3,laptop,11,27,FALSE
3,laptop,12,28,FALSE
3,laptop,12,29,TRUE
3,laptop,12,30,FALSE
4,laptop,1,1,FALSE
4,laptop,1,2,TRUE
4,laptop,1,3,FALSE
4,laptop,2,4,FALSE
4,laptop,2,5,TRUE
4,laptop,3,6,FALSE
4,laptop,3,7,TRUE
4,laptop,4,8,FALSE
4,laptop,4,9,TRUE
4,laptop,4,10,FALSE
4,laptop,5,11,TRUE
4,laptop,5,12,FALSE
4,laptop,6,13,FALSE
4,laptop,6,14,TRUE
4,laptop,7,15,TRUE
4,laptop,7,16,FALSE
4,laptop,8,17,FALSE
4,laptop,8,18,TRUE
4,laptop,9,19,FALSE
4,laptop,9,20,FALSE
4,laptop,9,21,TRUE
4,laptop,10,22,TRUE
4,laptop,10,23,FALSE
4,laptop,10,24,FALSE
4,laptop,11,25,FALSE
4,laptop,11,26,FALSE
4,laptop,11,27,TRUE
4,laptop,12,28,TRUE
4,laptop,12,29,FALSE
4,laptop,12,30,FALSE
5,laptop,1,1,FALSE
5,laptop,1,2,FALSE
5,laptop,1,3,TRUE
5,laptop,2,4,FALSE
5,laptop,2,5,TRUE
5,laptop,3,6,TRUE
5,laptop,3,7,FALSE
5,laptop,4,8,FALSE
5,laptop,4,9,FALSE
5,laptop,4,10,TRUE
5,laptop,5,11,TRUE
5,laptop,5,12,FALSE
5,laptop,6,13,TRUE
5,laptop,6,14,FALSE
5,laptop,7,15,TRUE
5,laptop,7,16,FALSE
5,laptop,8,17,FALSE
5,laptop,8,18,TRUE
5,laptop,9,19,TRUE
5,laptop,9,20,FALSE
5,laptop,9,21,FALSE
5,laptop,10,22,FALSE
5,laptop,10,23,TRUE
5,laptop,10,24,FALSE
5,laptop,11,25,FALSE
5,laptop,11,26,TRUE
5,laptop,11,27,FALSE
5,laptop,12,28,TRUE
5,laptop,12,29,FALSE
5,laptop,12,30,FALSE
6,laptop,1,1,TRUE
6,laptop,1,2,FALSE
6,laptop,1,3,FALSE
6,laptop,2,4,FALSE
6,laptop,2,5,TRUE
6,laptop,3,6,FALSE
6,laptop,3,7,TRUE
6,laptop,4,8,TRUE
6,laptop,4,9,FALSE
6,laptop,4,10,FALSE
6,laptop,5,11,TRUE
6,laptop,5,12,FALSE
6,laptop,6,13,TRUE
6,laptop,6,14,FALSE
6,laptop,7,15,TRUE
6,laptop,7,16,FALSE
6,laptop,8,17,TRUE
6,laptop,8,18,FALSE
6,laptop,9,19,TRUE
6,laptop,9,20,FALSE
6,laptop,9,21,FALSE
6,laptop,10,22,TRUE
6,laptop,10,23,FALSE
6,laptop,10,24,FALSE
6,laptop,11,25,FALSE
6,laptop,11,26,FALSE
6,laptop,11,27,TRUE
6,laptop,12,28,FALSE
6,laptop,12,29,FALSE
6,laptop,12,30,TRUE
7,laptop,1,1,TRUE
7,laptop,1,2,FALSE
7,laptop,1,3,FALSE
7,laptop,2,4,TRUE
7,laptop,2,5,FALSE
7,laptop,3,6,FALSE
7,laptop,3,7,TRUE
7,laptop,4,8,TRUE
7,laptop,4,9,FALSE
7,laptop,4,10,FALSE
7,laptop,5,11,FALSE
7,laptop,5,12,TRUE
7,laptop,6,13,FALSE
7,laptop,6,14,TRUE
7,laptop,7,15,TRUE
7,laptop,7,16,FALSE
7,laptop,8,17,TRUE
7,laptop,8,18,FALSE
7,laptop,9,19,TRUE
7,laptop,9,20,FALSE
7,laptop,9,21,FALSE
7,laptop,10,22,TRUE
7,laptop,10,23,FALSE
7,laptop,10,24,FALSE
7,laptop,11,25,FALSE
7,laptop,11,26,TRUE
7,laptop,11,27,FALSE
7,laptop,12,28,TRUE
7,laptop,12,29,FALSE
7,laptop,12,30,FALSE
8,laptop,1,1,FALSE
8,laptop,1,2,TRUE
8,laptop,1,3,FALSE
8,laptop,2,4,FALSE
8,laptop,2,5,TRUE
8,laptop,3,6,FALSE
8,laptop,3,7,TRUE
8,laptop,4,8,TRUE
8,laptop,4,9,FALSE
8,laptop,4,10,FALSE
8,laptop,5,11,TRUE
8,laptop,5,12,FALSE
8,laptop,6,13,TRUE
8,laptop,6,14,FALSE
8,laptop,7,15,FALSE
8,laptop,7,16,TRUE
8,laptop,8,17,FALSE
8,laptop,8,18,TRUE
8,laptop,9,19,TRUE
8,laptop,9,20,FALSE
8,laptop,9,21,FALSE
8,laptop,10,22,FALSE
8,laptop,10,23,FALSE
8,laptop,10,24,TRUE
8,laptop,11,25,TRUE
8,laptop,11,26,FALSE
8,laptop,11,27,FALSE
8,laptop,12,28,TRUE
8,laptop,12,29,FALSE
8,laptop,12,30,FALSE
9,laptop,1,1,FALSE
9,laptop,1,2,TRUE
9,laptop,1,3,FALSE
9,laptop,2,4,FALSE
9,laptop,2,5,TRUE
9,laptop,3,6,FALSE
9,laptop,3,7,TRUE
9,laptop,4,8,TRUE
9,laptop,4,9,FALSE
9,laptop,4,10,FALSE
9,laptop,5,11,FALSE
9,laptop,5,12,TRUE
9,laptop,6,13,FALSE
9,laptop,6,14,TRUE
9,laptop,7,15,TRUE
9,laptop,7,16,FALSE
9,laptop,8,17,TRUE
9,laptop,8,18,FALSE
9,laptop,9,19,FALSE
9,laptop,9,20,TRUE
9,laptop,9,21,FALSE
9,laptop,10,22,FALSE
9,laptop,10,23,FALSE
9,laptop,10,24,TRUE
9,laptop,11,25,TRUE
9,laptop,11,26,FALSE
9,laptop,11,27,FALSE
9,laptop,12,28,TRUE
9,laptop,12,29,FALSE
9,laptop,12,30,FALSE
10,laptop,1,1,FALSE
10,laptop,1,2,TRUE
10,laptop,1,3,FALSE
10,laptop,2,4,TRUE
10,laptop,2,5,FALSE
10,laptop,3,6,TRUE
10,laptop,3,7,FALSE
10,laptop,4,8,TRUE
10,laptop,4,9,FALSE
10,laptop,4,10,FALSE
10,laptop,5,11,TRUE
10,laptop,5,12,FALSE
10,laptop,6,13,TRUE
10,laptop,6,14,FALSE
10,laptop,7,15,TRUE
10,laptop,7,16,FALSE
10,laptop,8,17,TRUE
10,laptop,8,18,FALSE
10,laptop,9,19,FALSE
10,laptop,9,20,FALSE
10,laptop,9,21,TRUE
10,laptop,10,22,TRUE
10,laptop,10,23,FALSE
10,laptop,10,24,FALSE
10,laptop,11,25,FALSE
10,laptop,11,26,TRUE
10,laptop,11,27,FALSE
10,laptop,12,28,TRUE
10,laptop,12,29,FALSE
10,laptop,12,30,FALSE